symbol,timestamp,open,high,low,close,volume
BTC-USD,2024-01-01 00:00:00,50024.81103515558,50099.392175592206,49999.950655010034,50049.67141530112,116
BTC-USD,2024-01-01 01:00:00,50028.91308037571,50049.667588099444,50021.994911134454,50035.83124961695,81
BTC-USD,2024-01-01 02:00:00,49869.053428082174,50035.58381694812,49813.543298460194,49924.563557704154,84
BTC-USD,2024-01-01 03:00:00,49940.47445557559,49988.268076290566,49924.54324867059,49956.40566248058,97
BTC-USD,2024-01-01 04:00:00,49823.815178670855,49956.249072575396,49779.67054736934,49867.959809972366,140
BTC-USD,2024-01-01 05:00:00,49806.31175930467,49867.92591983785,49785.77370579361,49826.84981281573,159
BTC-USD,2024-01-01 06:00:00,49830.82694542848,49842.76215389559,49826.84854260611,49834.80534825085,167
BTC-USD,2024-01-01 07:00:00,49810.95946296561,49834.80027596184,49803.012525300204,49818.90640063102,47
BTC-USD,2024-01-01 08:00:00,49891.54739890953,50110.74887627309,49818.48023978835,49964.61455803072,98
BTC-USD,2024-01-01 09:00:00,50041.25926148734,50272.61295274669,49964.14136440089,50118.37715857379,58
BTC-USD,2024-01-01 10:00:00,49752.24141529314,50117.18449412321,49630.593722349775,49873.88910823649,197
BTC-USD,2024-01-01 11:00:00,49903.94874669055,49994.34559577372,49873.81646366281,49934.08102971827,24
BTC-USD,2024-01-01 12:00:00,50007.05232467987,50227.253386125674,49933.651970864594,50080.45267849514,60
BTC-USD,2024-01-01 13:00:00,50046.53684619373,50080.44246710329,50035.23497255722,50057.83871983025,117
BTC-USD,2024-01-01 14:00:00,50185.3053031947,50571.64018747951,50056.5270084331,50314.083597956305,140
BTC-USD,2024-01-01 15:00:00,50333.90343157913,50393.45677003019,50314.05231876211,50353.75454439615,60
BTC-USD,2024-01-01 16:00:00,50274.45659344114,50353.699003397465,50248.04245678903,50300.870730093244,27
BTC-USD,2024-01-01 17:00:00,50396.716719568634,50686.46311388373,50300.13458813028,50493.298851007,141
